[ID];[content language];[target country];[title];[description];[condition];[price];[currency];[weight];[unit];[quantity];[expiration date];[product type];[brand];[GTIN];[MPN];[product information homepage];[product image URL]
1;en;US;Red wool sweater;Comfortable and soft, this sweater will keep you warm on those cold winter nights. Red and blue stripes.;new;13.99;usd;23;lb;4;2010-10-29 22:00;Clothing & Accessories > Clothing > Outerwear > Sweaters;Jumpers-R-Us;;;item1-info-page.html;http://my.supercool.com/homepage/item1-picture.jpg
2;en;US;Dell monitor;24" with 10 million colors;used;200;usd;23;kg;300;2010-09-20 14:38;Electronics > Video > Computer Monitors;Dell;834721479305;HSC0424PP;monitor-info-page.html;http://my.supercool.com/homepage/monitor-picture.png
3;de;DE;HP Laptop;"This notebook features a stylish understated micro-fiber pattern design in a stone gray color for a clean professional look. Powered by the AMD Turion II mobile processors, the HP 625 notebook PC helps you get the job done. With an energy-efficient 15.6" diagonal LED-backlit display, 2-megapixel webcam and integrated Wi-Fi, the HP 625 is your link to the world.";used;1000;eur;3.2;kg;1;2010-24-12 23:59;Electronics > Computers > Laptops;HP;83475892457;RJ4694;laptop-info-page.html;
4;de;DE;Book on Math Olympiad problems;Problems and solutions from the Austrian Mathematical Olympiad 2000 – 2008;refurbished;7.31;eur;0.8;kg;100;2011-05-05 19:48;Media > Books > Non-Fiction > Math Books;;9783940445544;;book-info-page.html;
5;en;US;Red wool sweater;Comfortable and soft, this sweater will keep you warm on those cold winter nights. Red and blue stripes.;new;13.99;usd;23;lb;4;2010-10-29 22:00;Clothing & Accessories > Clothing > Outerwear > Sweaters;Jumpers-R-Us;;;item1-info-page.html;http://my.supercool.com/homepage/item1-picture.jpg
6;en;US;Dell monitor;24" with 10 million colors;used;200;usd;23;kg;300;2010-09-20 14:38;Electronics > Video > Computer Monitors;Dell;834721479305;HSC0424PP;monitor-info-page.html;http://my.supercool.com/homepage/monitor-picture.png
7;de;DE;HP Laptop;"This notebook features a stylish understated micro-fiber pattern design in a stone gray color for a clean professional look. Powered by the AMD Turion II mobile processors, the HP 625 notebook PC helps you get the job done. With an energy-efficient 15.6" diagonal LED-backlit display, 2-megapixel webcam and integrated Wi-Fi, the HP 625 is your link to the world.";used;1000;eur;3.2;kg;1;2010-24-12 23:59;Electronics > Computers > Laptops;HP;83475892457;RJ4694;laptop-info-page.html;
8;de;DE;Book on Math Olympiad problems;Problems and solutions from the Austrian Mathematical Olympiad 2000 – 2008;refurbished;7.31;eur;0.8;kg;100;2011-05-05 19:48;Media > Books > Non-Fiction > Math Books;;9783940445544;;book-info-page.html;
9;en;US;Red wool sweater;Comfortable and soft, this sweater will keep you warm on those cold winter nights. Red and blue stripes.;new;13.99;usd;23;lb;4;2010-10-29 22:00;Clothing & Accessories > Clothing > Outerwear > Sweaters;Jumpers-R-Us;;;item1-info-page.html;http://my.supercool.com/homepage/item1-picture.jpg
10;en;US;Dell monitor;24" with 10 million colors;used;200;usd;23;kg;300;2010-09-20 14:38;Electronics > Video > Computer Monitors;Dell;834721479305;HSC0424PP;monitor-info-page.html;http://my.supercool.com/homepage/monitor-picture.png
11;de;DE;HP Laptop;"This notebook features a stylish understated micro-fiber pattern design in a stone gray color for a clean professional look. Powered by the AMD Turion II mobile processors, the HP 625 notebook PC helps you get the job done. With an energy-efficient 15.6" diagonal LED-backlit display, 2-megapixel webcam and integrated Wi-Fi, the HP 625 is your link to the world.";used;1000;eur;3.2;kg;1;2010-24-12 23:59;Electronics > Computers > Laptops;HP;83475892457;RJ4694;laptop-info-page.html;
12;de;DE;Book on Math Olympiad problems;Problems and solutions from the Austrian Mathematical Olympiad 2000 – 2008;refurbished;7.31;eur;0.8;kg;100;2011-05-05 19:48;Media > Books > Non-Fiction > Math Books;;9783940445544;;book-info-page.html;
13;en;US;Red wool sweater;Comfortable and soft, this sweater will keep you warm on those cold winter nights. Red and blue stripes.;new;13.99;usd;23;lb;4;2010-10-29 22:00;Clothing & Accessories > Clothing > Outerwear > Sweaters;Jumpers-R-Us;;;item1-info-page.html;http://my.supercool.com/homepage/item1-picture.jpg
14;en;US;Dell monitor;24" with 10 million colors;used;200;usd;23;kg;300;2010-09-20 14:38;Electronics > Video > Computer Monitors;Dell;834721479305;HSC0424PP;monitor-info-page.html;http://my.supercool.com/homepage/monitor-picture.png
15;de;DE;HP Laptop;"This notebook features a stylish understated micro-fiber pattern design in a stone gray color for a clean professional look. Powered by the AMD Turion II mobile processors, the HP 625 notebook PC helps you get the job done. With an energy-efficient 15.6" diagonal LED-backlit display, 2-megapixel webcam and integrated Wi-Fi, the HP 625 is your link to the world.";used;1000;eur;3.2;kg;1;2010-24-12 23:59;Electronics > Computers > Laptops;HP;83475892457;RJ4694;laptop-info-page.html;
16;de;DE;Book on Math Olympiad problems;Problems and solutions from the Austrian Mathematical Olympiad 2000 – 2008;refurbished;7.31;eur;0.8;kg;100;2011-05-05 19:48;Media > Books > Non-Fiction > Math Books;;9783940445544;;book-info-page.html;
17;en;US;Red wool sweater;Comfortable and soft, this sweater will keep you warm on those cold winter nights. Red and blue stripes.;new;13.99;usd;23;lb;4;2010-10-29 22:00;Clothing & Accessories > Clothing > Outerwear > Sweaters;Jumpers-R-Us;;;item1-info-page.html;http://my.supercool.com/homepage/item1-picture.jpg
18;en;US;Dell monitor;24" with 10 million colors;used;200;usd;23;kg;300;2010-09-20 14:38;Electronics > Video > Computer Monitors;Dell;834721479305;HSC0424PP;monitor-info-page.html;http://my.supercool.com/homepage/monitor-picture.png
19;de;DE;HP Laptop;"This notebook features a stylish understated micro-fiber pattern design in a stone gray color for a clean professional look. Powered by the AMD Turion II mobile processors, the HP 625 notebook PC helps you get the job done. With an energy-efficient 15.6" diagonal LED-backlit display, 2-megapixel webcam and integrated Wi-Fi, the HP 625 is your link to the world.";used;1000;eur;3.2;kg;1;2010-24-12 23:59;Electronics > Computers > Laptops;HP;83475892457;RJ4694;laptop-info-page.html;
20;de;DE;Book on Math Olympiad problems;Problems and solutions from the Austrian Mathematical Olympiad 2000 – 2008;refurbished;7.31;eur;0.8;kg;100;2011-05-05 19:48;Media > Books > Non-Fiction > Math Books;;9783940445544;;book-info-page.html;
21;en;US;Red wool sweater;Comfortable and soft, this sweater will keep you warm on those cold winter nights. Red and blue stripes.;new;13.99;usd;23;lb;4;2010-10-29 22:00;Clothing & Accessories > Clothing > Outerwear > Sweaters;Jumpers-R-Us;;;item1-info-page.html;http://my.supercool.com/homepage/item1-picture.jpg
22;en;US;Dell monitor;24" with 10 million colors;used;200;usd;23;kg;300;2010-09-20 14:38;Electronics > Video > Computer Monitors;Dell;834721479305;HSC0424PP;monitor-info-page.html;http://my.supercool.com/homepage/monitor-picture.png
23;de;DE;HP Laptop;"This notebook features a stylish understated micro-fiber pattern design in a stone gray color for a clean professional look. Powered by the AMD Turion II mobile processors, the HP 625 notebook PC helps you get the job done. With an energy-efficient 15.6" diagonal LED-backlit display, 2-megapixel webcam and integrated Wi-Fi, the HP 625 is your link to the world.";used;1000;eur;3.2;kg;1;2010-24-12 23:59;Electronics > Computers > Laptops;HP;83475892457;RJ4694;laptop-info-page.html;
24;de;DE;Book on Math Olympiad problems;Problems and solutions from the Austrian Mathematical Olympiad 2000 – 2008;refurbished;7.31;eur;0.8;kg;100;2011-05-05 19:48;Media > Books > Non-Fiction > Math Books;;9783940445544;;book-info-page.html;
25;en;US;Red wool sweater;Comfortable and soft, this sweater will keep you warm on those cold winter nights. Red and blue stripes.;new;13.99;usd;23;lb;4;2010-10-29 22:00;Clothing & Accessories > Clothing > Outerwear > Sweaters;Jumpers-R-Us;;;item1-info-page.html;http://my.supercool.com/homepage/item1-picture.jpg
26;en;US;Dell monitor;24" with 10 million colors;used;200;usd;23;kg;300;2010-09-20 14:38;Electronics > Video > Computer Monitors;Dell;834721479305;HSC0424PP;monitor-info-page.html;http://my.supercool.com/homepage/monitor-picture.png
27;de;DE;HP Laptop;"This notebook features a stylish understated micro-fiber pattern design in a stone gray color for a clean professional look. Powered by the AMD Turion II mobile processors, the HP 625 notebook PC helps you get the job done. With an energy-efficient 15.6" diagonal LED-backlit display, 2-megapixel webcam and integrated Wi-Fi, the HP 625 is your link to the world.";used;1000;eur;3.2;kg;1;2010-24-12 23:59;Electronics > Computers > Laptops;HP;83475892457;RJ4694;laptop-info-page.html;
28;de;DE;Book on Math Olympiad problems;Problems and solutions from the Austrian Mathematical Olympiad 2000 – 2008;refurbished;7.31;eur;0.8;kg;100;2011-05-05 19:48;Media > Books > Non-Fiction > Math Books;;9783940445544;;book-info-page.html;
29;en;US;Red wool sweater;Comfortable and soft, this sweater will keep you warm on those cold winter nights. Red and blue stripes.;new;13.99;usd;23;lb;4;2010-10-29 22:00;Clothing & Accessories > Clothing > Outerwear > Sweaters;Jumpers-R-Us;;;item1-info-page.html;http://my.supercool.com/homepage/item1-picture.jpg
30;en;US;Dell monitor;24" with 10 million colors;used;200;usd;23;kg;300;2010-09-20 14:38;Electronics > Video > Computer Monitors;Dell;834721479305;HSC0424PP;monitor-info-page.html;http://my.supercool.com/homepage/monitor-picture.png
31;de;DE;HP Laptop;"This notebook features a stylish understated micro-fiber pattern design in a stone gray color for a clean professional look. Powered by the AMD Turion II mobile processors, the HP 625 notebook PC helps you get the job done. With an energy-efficient 15.6" diagonal LED-backlit display, 2-megapixel webcam and integrated Wi-Fi, the HP 625 is your link to the world.";used;1000;eur;3.2;kg;1;2010-24-12 23:59;Electronics > Computers > Laptops;HP;83475892457;RJ4694;laptop-info-page.html;
32;de;DE;Book on Math Olympiad problems;Problems and solutions from the Austrian Mathematical Olympiad 2000 – 2008;refurbished;7.31;eur;0.8;kg;100;2011-05-05 19:48;Media > Books > Non-Fiction > Math Books;;9783940445544;;book-info-page.html;
33;en;US;Red wool sweater;Comfortable and soft, this sweater will keep you warm on those cold winter nights. Red and blue stripes.;new;13.99;usd;23;lb;4;2010-10-29 22:00;Clothing & Accessories > Clothing > Outerwear > Sweaters;Jumpers-R-Us;;;item1-info-page.html;http://my.supercool.com/homepage/item1-picture.jpg
34;en;US;Dell monitor;24" with 10 million colors;used;200;usd;23;kg;300;2010-09-20 14:38;Electronics > Video > Computer Monitors;Dell;834721479305;HSC0424PP;monitor-info-page.html;http://my.supercool.com/homepage/monitor-picture.png
35;de;DE;HP Laptop;"This notebook features a stylish understated micro-fiber pattern design in a stone gray color for a clean professional look. Powered by the AMD Turion II mobile processors, the HP 625 notebook PC helps you get the job done. With an energy-efficient 15.6" diagonal LED-backlit display, 2-megapixel webcam and integrated Wi-Fi, the HP 625 is your link to the world.";used;1000;eur;3.2;kg;1;2010-24-12 23:59;Electronics > Computers > Laptops;HP;83475892457;RJ4694;laptop-info-page.html;
36;de;DE;Book on Math Olympiad problems;Problems and solutions from the Austrian Mathematical Olympiad 2000 – 2008;refurbished;7.31;eur;0.8;kg;100;2011-05-05 19:48;Media > Books > Non-Fiction > Math Books;;9783940445544;;book-info-page.html;
